Year,Region,Temperature,Secchi,Salinity
2009,Suisun Marsh,15.96525224248992,32.245875957002006,5.151185238568622
2010,Suisun Marsh,16.26076397213897,31.19681273228687,3.8772861981983646
2011,Suisun Marsh,15.622595219744412,27.505606719047577,1.8420236772211782
2012,Suisun Marsh,16.167464862298196,33.682883428300094,3.9833316187421737
2013,Suisun Marsh,16.293162656854108,29.98070141730343,4.659911185813392
2014,Suisun Marsh,16.90017738449794,35.32916105217546,6.8010250675305
2015,Suisun Marsh,17.58281000202675,34.28285910856805,6.488307486795016
2016,Suisun Marsh,16.772504603198943,32.18663045320225,4.622702098841608
2017,Suisun Marsh,16.860981844569896,27.759001687452468,2.349869978746479
2018,Suisun Marsh,16.581989689297384,31.546724918597928,4.04448011207529
2019,Suisun Marsh,16.81463404188404,30.889336924250717,2.188827420216077
2020,Suisun Marsh,NA,NA,NA
2021,Suisun Marsh,NA,NA,NA
