IBMR,Month,Scenario,BPUE_sum
othcalad,6,bdl_bn_smscg4,177548.1080771624
othcalad,7,bdl_bn_noact,15035.22299959886
othcalad,7,bdl_bn_smscg6,14403.156851345651
othcalad,7,bdl_bn_smscg4,14574.443024817605
othcalad,8,bdl_bn_noact,8270.834705176941
othcalad,8,bdl_bn_smscg6,3777.528081801074
othcalad,8,bdl_bn_smscg4,3146.813070587445
othcalad,9,bdl_bn_noact,12852.737516559737
othcalad,9,bdl_bn_smscg6,2063.0574451129833
othcalad,9,bdl_bn_smscg4,741.0981976022807
othcalad,10,bdl_bn_noact,45875.99694613087
othcalad,10,bdl_bn_smscg6,5329.9651246008
othcalad,10,bdl_bn_smscg4,1152.8843111277872
othcaljuv,6,bdl_bn_noact,139717.73220665858
othcaljuv,6,bdl_bn_smscg6,139717.73220665858
othcaljuv,6,bdl_bn_smscg4,139717.73220665858
othcaljuv,7,bdl_bn_noact,45788.90842504937
othcaljuv,7,bdl_bn_smscg6,48163.616065135095
othcaljuv,7,bdl_bn_smscg4,50254.85207953235
othcaljuv,8,bdl_bn_noact,23750.70018032935
othcaljuv,8,bdl_bn_smscg6,21882.482570396816
othcaljuv,8,bdl_bn_smscg4,21603.22968309243
othcaljuv,9,bdl_bn_noact,26052.363417941106
othcaljuv,9,bdl_bn_smscg6,17335.34475439144
othcaljuv,9,bdl_bn_smscg4,14618.302989434906
othcaljuv,10,bdl_bn_noact,21454.94785781765
othcaljuv,10,bdl_bn_smscg6,15159.419632100633
othcaljuv,10,bdl_bn_smscg4,11013.141382454798
othclad,6,bdl_bn_noact,133.8227975962363
othclad,6,bdl_bn_smscg6,133.8227975962363
othclad,6,bdl_bn_smscg4,133.8227975962363
othclad,7,bdl_bn_noact,86.97129386484444
othclad,7,bdl_bn_smscg6,96.13240914880944
othclad,7,bdl_bn_smscg4,103.59349488405894
othclad,8,bdl_bn_noact,134.89551876951617
othclad,8,bdl_bn_smscg6,158.40597533703195
othclad,8,bdl_bn_smscg4,166.1189387729178
othclad,9,bdl_bn_noact,35.548522879218766
othclad,9,bdl_bn_smscg6,48.21980093801898
othclad,9,bdl_bn_smscg4,60.29151487481069
othclad,10,bdl_bn_noact,142.66517860593223
othclad,10,bdl_bn_smscg6,194.83780162047663
othclad,10,bdl_bn_smscg4,253.88031718850002
othcyc,6,bdl_bn_noact,178939.4530617099
othcyc,6,bdl_bn_smscg6,178939.4530617099
othcyc,6,bdl_bn_smscg4,178939.4530617099
othcyc,7,bdl_bn_noact,986723.9769518774
othcyc,7,bdl_bn_smscg6,968312.6997841389
othcyc,7,bdl_bn_smscg4,939170.4404416583
othcyc,8,bdl_bn_noact,689301.810405442
othcyc,8,bdl_bn_smscg6,605665.7161818697
othcyc,8,bdl_bn_smscg4,596536.1524844075
othcyc,9,bdl_bn_noact,1250293.739199078
othcyc,9,bdl_bn_smscg6,1047738.2042172932
othcyc,9,bdl_bn_smscg4,978236.9028214953
othcyc,10,bdl_bn_noact,750734.046129559
othcyc,10,bdl_bn_smscg6,666324.2121014039
othcyc,10,bdl_bn_smscg4,629302.042522197
other,6,bdl_bn_noact,1112.185686483497
other,6,bdl_bn_smscg6,1112.185686483497
other,6,bdl_bn_smscg4,1112.185686483497
other,7,bdl_bn_noact,2091.6066170165486
other,7,bdl_bn_smscg6,2130.3418051441295
other,7,bdl_bn_smscg4,2243.108915751677
other,8,bdl_bn_noact,7065.657386732847
other,8,bdl_bn_smscg6,6360.028715428412
other,8,bdl_bn_smscg4,6502.730654450182
other,9,bdl_bn_noact,6364.647465429221
other,9,bdl_bn_smscg6,9310.0000370396
other,9,bdl_bn_smscg4,13012.21556319473
other,10,bdl_bn_noact,6342.222072852497
other,10,bdl_bn_smscg6,10526.191643411255
other,10,bdl_bn_smscg4,17616.245494465078
pdiapfor,6,bdl_bn_noact,471658.25220028637
