Year,Season,Temperature,Secchi,Salinity
2010,Winter,10.286755230478292,61.50298391486145,3.0809594368753612
2011,Winter,9.868408923828214,57.58429418786966,1.548363705977242
2012,Winter,9.944112280284287,73.11647407318237,2.9510086873301216
2013,Winter,10.110379744021692,54.03478287979471,1.4299468255801058
2014,Winter,10.038347414214916,91.50238444439258,4.467718562769467
2015,Winter,12.380039871972844,57.40144075869758,2.5839456300555335
2016,Winter,10.594326931112482,69.71253178504872,2.9344184343953974
2017,Winter,10.357797543647857,40.95303456376111,1.2633251504879028
2018,Winter,11.336647451968407,84.60578938671608,2.701128317628253
2019,Winter,10.436682987465396,85.00329401857338,1.853669600184923
2020,Winter,10.693842310606092,58.64008521438274,2.4317789213738377
2021,Winter,10.530423921642553,110.44428930997557,3.6691108130050427
